"","id","sport_id","name","home_team_type","container","league_specials_count","event_specials_count","event_count","has_offerings","homeTeamType"
"2141",207114,1,"England - Lancashire FA Challenge Trophy","Team1","England",0,0,0,FALSE,"Team1"
"2142",10034,1,"UAE - League Cup","Team1","United Arab Emirates",0,0,0,FALSE,"Team1"
"2143",192235,1,"England - Northamptonshire Senior Cup","Team1","England",0,0,0,FALSE,"Team1"
"2144",213513,1,"Brazil - Brasileiro Women A2","Team1","Brazil",0,0,0,FALSE,"Team1"
"2145",6392,1,"Ireland - Premier Corners","Team1","Ireland",0,0,0,FALSE,"Team1"
"2146",236291,1,"Guatemala - Segunda Division","Team1","Guatemala",0,0,0,FALSE,"Team1"
"2147",207645,1,"Spain - Segunda B Group 1 Corners","Team1","Spain",0,0,0,FALSE,"Team1"
"2148",207551,1,"Korea Republic - K League 1","Team1","South Korea",0,0,6,TRUE,"Team1"
"2149",238809,1,"Algeria - Championship Elite Women","Team1","Algeria",0,0,0,FALSE,"Team1"
"2150",210906,1,"Brazil - Pernambucano U20","Team1","Brazil",0,0,0,FALSE,"Team1"
"2151",218547,1,"Brazil - Capixaba","Team1","Brazil",0,0,0,FALSE,"Team1"
"2152",201169,1,"Slovenia - Cup Corners","Team1","Slovenia",0,0,0,FALSE,"Team1"
"2153",218185,1,"Iceland - Faxafloi Cup Women","Team1","Iceland",0,0,0,FALSE,"Team1"
"2154",10455,1,"Italy - Super Cup Corners","Team1","Italy",0,0,0,FALSE,"Team1"
"2155",220542,1,"Brazil - Serie C Corners","Team1","Brazil",0,0,0,FALSE,"Team1"
"2156",225160,1,"International - Finalissima Women Corners","Team1","World",0,0,0,FALSE,"Team1"
"2157",234633,1,"Netherlands - Cup U21","Team1","Netherlands",0,0,0,FALSE,"Team1"
"2158",218153,1,"Zanzibar - Mapinduzi Cup","Team1","Tanzania",0,0,0,FALSE,"Team1"
"2159",216237,1,"Brazil - Alagoano 2","Team1","Brazil",0,0,0,FALSE,"Team1"
"2160",220668,1,"CONCACAF - N/C America Womens WC Qualification Corners","Team1","CONCACAF",0,0,0,FALSE,"Team1"
"2161",194624,1,"Netherlands - Jong Eredivisie U19","Team1","Netherlands",0,0,1,TRUE,"Team1"
"2162",220670,1,"CONCACAF - Championship Women Corners","Team1","CONCACAF",0,0,0,FALSE,"Team1"
"2163",242385,1,"Ethiopia - Higher League","Team1","Ethiopia",0,0,0,FALSE,"Team1"
"2164",35179,1,"AFC - U23 Cup","Team1","Asia",0,0,0,FALSE,"Team1"
"2165",207234,1,"Norway - 2nd Division Corners","Team1","Norway",0,0,0,FALSE,"Team1"
"2166",201855,1,"Belarus - 1st Division","Team1","Belarus",0,0,0,FALSE,"Team1"
"2167",1929,1,"Netherlands - Eerste Divisie","Team1","Netherlands",0,0,9,TRUE,"Team1"
"2168",216128,1,"Germany - Regional Cup Baden","Team1","Germany",0,0,0,FALSE,"Team1"
"2169",199618,1,"Italy - Super Cup Bookings","Team1","Italy",0,0,0,FALSE,"Team1"
"2170",223366,1,"Chile - U21 League","Team1","Chile",0,0,0,FALSE,"Team1"
"2171",226658,1,"International - Baltic Cup U19 Women","Team1","World",0,0,0,FALSE,"Team1"
"2172",192153,1,"England - Isthmian Premier League Corners","Team1","England",0,0,0,FALSE,"Team1"
"2173",6303,1,"England - League 1 Corners","Team1","England",0,0,0,FALSE,"Team1"
"2174",216059,1,"Brazil - Copa Rio U20","Team1","Brazil",0,0,0,FALSE,"Team1"
